year,month,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013,3,9,9,6,17,200,62,0.3,1021.9,-19,0,WNW,2
2013,3,11,11,7,14,200,66,-0.1,1022.4,-19.3,0,WNW,4.4
2013,3,8,8,NA,16,200,59,-0.6,1022.6,-19.7,0,WNW,4.7
2013,3,8,8,3,16,NA,NA,-0.7,1023.5,-20.9,0,NW,2.6
2013,3,8,8,3,NA,300,36,-0.9,1024.1,-21.7,0,WNW,2.5
2013,3,10,10,4,8,200,64,-1.6,1024.7,-21.1,0,NE,2
2013,3,8,8,6,13,300,61,-2.4,1025.4,-20.3,0,NE,2.3
2013,3,8,8,8,20,300,54,-0.8,1026.7,-19.9,0,NNE,2
2013,3,3,6,9,23,300,50,0.4,1027.3,-19.4,0,NE,2.7
2013,3,3,6,10,18,300,56,1.5,1027.4,-19.7,0,ENE,2.9
2013,3,3,6,11,15,300,61,2.1,1027.3,-21.2,0,NNE,4.8
2013,3,3,6,9,14,300,62,3.1,1027.2,-21.1,0,N,4.1
2013,3,3,6,8,10,300,67,4.7,1026.3,-20.6,0,ESE,1.6
2013,3,3,9,7,9,300,70,5.5,1025.2,-20,0,NE,3.1
2013,3,3,14,7,8,300,72,6.6,1024.9,-19.9,0,NW,2.1
2013,3,12,14,5,7,200,73,6.1,1024.7,-19.5,0,NE,2.4
2013,3,11,17,7,9,300,72,5.9,1024.7,-18.8,0,N,3.3
2013,3,13,18,8,14,300,67,5.3,1025.3,-19.3,0,NNW,2
2013,3,10,18,9,20,400,58,4.1,1026.4,-19.5,0,NNE,2.2
2013,3,10,16,7,29,500,50,3.2,1027.2,-18.9,0,NE,2.1
2013,3,11,12,6,29,500,47,2.6,1028.2,-18.8,0,NE,1.9
2013,3,10,12,6,31,500,44,2.2,1029.2,-17.9,0,ENE,1.1
2013,3,10,13,11,39,500,34,2,1029.5,-18.1,0,ENE,2
2013,3,15,15,14,41,500,31,1,1029.6,-18.4,0,ENE,1.8
2013,3,5,10,11,35,400,39,0.5,1030.2,-18.3,0,ENE,1.4
2013,3,3,8,9,33,400,40,-0.3,1030.2,-17.5,0,E,1
2013,3,3,6,9,29,300,44,-1.2,1029.6,-17,0,E,0.8
2013,3,3,6,9,29,400,43,-2.9,1029.7,-14.9,0,N,0.1
2013,3,3,6,8,30,400,41,-2.4,1029.8,-15.5,0,N,0.2
2013,3,8,8,6,15,300,57,-1.2,1029.2,-17.9,0,NNE,1
2013,3,8,8,10,31,400,37,-1.2,1028.5,-17.9,0,WNW,1.5
2013,3,3,6,16,61,600,8,-1.1,1029.2,-16.1,0,WSW,1.2
2013,3,4,7,17,53,500,17,0,1028.8,-16.8,0,W,1.3
2013,3,4,11,17,50,500,23,1.1,1028.9,-16.8,0,SW,1
2013,3,5,14,22,52,600,20,1.9,1028.4,-17.1,0,SW,2
2013,3,13,18,20,61,1000,15,2.5,1027.5,-17.7,0,SW,2.1
2013,3,17,25,19,47,700,29,3.3,1026.2,-17.6,0,SSW,1.8
2013,3,24,28,18,35,600,43,4.2,1024.8,-16.8,0,SE,1
2013,3,18,27,23,36,800,44,4.1,1024.1,-16.3,0,SSW,1.3
2013,3,34,37,44,43,1100,40,3.9,1023.5,-15.9,0,SSW,1.9
2013,3,42,56,46,44,1100,38,3.8,1022.8,-15,0,SSW,1
2013,3,56,68,48,46,1100,37,3.1,1022.7,-14.1,0,S,1.1
2013,3,56,80,51,52,1100,31,2.6,1022.5,-13.7,0,S,1.3
2013,3,64,88,53,67,1300,14,0.6,1022.2,-12.8,0,SSW,0.5
2013,3,72,96,63,83,1600,2,-0.2,1022.3,-11,0,W,1.1
2013,3,88,118,72,91,1800,2,-0.1,1021.8,-10.9,0,N,0.2
