,SO2,TEMP,PRES,RAIN,wd,WSPM,season
1,48,4.3,1016.7,0,SE,0.6,winter
2,3,30.2,998.4,0,NE,1.5,summer
3,3,31.4,1000,0,WSW,1.5,summer
4,25,2,1024.2,0,SSE,0.8,winter
5,20,-0.2,1018,0,ENE,0.5,winter
6,4,15.1,1014.3,0,WNW,0.8,fall
7,21,-4.2,1031.2,0,ENE,2.2,winter
8,18,-0.3,1016.8,0,E,1.6,winter
9,30,-5,1030.8,0,SE,1.4,winter
10,2,12.4,1016,0,ENE,0.7,fall
11,3,25.1,999.9,0,SSW,0.9,summer
12,101,-7.3,1026.7,0,WSW,0.6,winter
13,11,9.2,1012.9,0,ESE,2.6,spring
14,2,10.9,1015.6,0,SSE,1.3,fall
15,56,-4.7,1028.7,0,NE,1.4,winter
16,42,-0.4,1017.6,0,N,1.4,fall
17,17,9.1,1028.9,0,NNE,1.7,winter
18,21,8.4,1007.5,0,W,0.9,spring
19,6,21.8,1001.2,0,SW,0.8,spring
20,2,19.8,1011.9,0,WSW,2.8,fall
21,47,5,1021,0,WSW,5.1,winter
22,8,20.1,1013.4,0,SE,0.9,fall
23,2,5.1,1025,0,NNW,3.8,winter
24,2,28.3,1005.4,0,E,3.7,summer
25,2,14.4,1013,0,NNE,1.2,fall
26,81,-1,1005.4,0,SW,0.5,winter
27,17,8.5,1015.3,0,SW,2.8,spring
28,6,26.9,996.7,0,NE,1.8,summer
29,5,16.9,1006.5,0,NW,3.6,spring
30,2,6,1024.2,0,SW,1.1,fall
31,7,5,1016.5,0,W,0.9,fall
32,3,11.6,1018,0,SW,1.2,fall
33,2,19.7,999.7,0.2,ENE,2.1,summer
34,3,7.5,1016.8,0,N,2.3,spring
35,12,2.5,1018.3,0,NW,1.4,winter
36,17,-3.5,1025,0,NE,1.2,winter
37,2,27.4,999.1,0,NE,1.3,summer
38,2,27.7,999.9,0,SW,2.4,summer
39,9,20.4,1011,0,SSW,0.9,fall
40,27,19.6,1004,0,SSW,0.9,fall
41,1,1.95,1022,0,NW,5.8,winter
42,6,2,1015,0,WSW,0.5,winter
43,2,25.3,1000.9,0,ENE,1.5,summer
44,2,32.5,1001.1,0,SSW,1.7,summer
45,2,26.6,999.4,0,E,1.6,summer
46,8,13,1015,0,NNW,0.5,fall
47,2,17.8,1023.5,0,N,2.1,fall
48,23,12.9,1009.2,0,SE,1.3,spring
49,17,23.1,1005.9,0,ESE,1.4,fall
50,4,27.8,1009.6,0,NE,1.9,fall
51,5,-0.3,1036.1,0,NW,4.5,winter
52,2,21.2,1000.2,0,SW,0.8,summer
53,5,-4.8,1022.6,0,E,1.1,winter
54,4,22.9,1001.1,0,SE,0.8,summer
55,2,7.3,1017.7,0,NW,6.1,winter
56,2,9.7,1017,0,WSW,0.9,fall
57,2,16.9,1014.9,0,NW,5.3,spring
58,32,-4.4,1027,0,WSW,0.4,winter
59,169,3.1,1023.4,0,E,2.2,winter
60,7,8.2,1018.3,0,W,2.8,fall
61,9,31.9,1005.1,0,S,2.3,summer
62,3,12.2,1019.6,0,NE,0.3,fall
63,6,20.6,999,0,W,0.9,summer
64,6,-2.075,1027,0,SW,2.7,winter
65,13,-6.975,1032,0,NE,1.3,winter
66,3,22.3,995.4,2.9,SW,1.9,summer
67,106,10.8,1013.7,0,SSW,1.6,spring
68,2,32.3,1000.6,0,NNW,2.3,summer
69,29,15.9,1003.5,0,W,0.9,spring
70,19,16.1,1011.7,0,SSW,1.1,fall
71,7,3.7,1022.5,0,W,2,spring
72,111,-2.3,1029.7,0,SW,0.7,winter
73,7,-3.4,1020.5,0,ENE,1.1,winter
74,2,23.8,999.4,0,E,0.9,summer
75,7,24.7,1001.6,0,WNW,0.6,summer
